algo,size(bytes),avg_proc_time(ms),std_err(ms),std_dev(ms)
shamir,3980,0.0200,0.0001,0.0007
shamir,3990,0.0199,0.0001,0.0007
shamir,4000,0.0198,0.0001,0.0009
shamir,4010,0.0199,0.0001,0.0008
shamir,4020,0.0201,0.0001,0.0006
shamir,4030,0.0203,0.0001,0.0009
shamir,4040,0.0201,0.0001,0.0006
shamir,4050,0.0203,0.0001,0.0007
shamir,4060,0.0204,0.0001,0.0006
shamir,4070,0.0204,0.0002,0.0011
shamir,4080,0.0203,0.0001,0.0006
shamir,4090,0.0204,0.0001,0.0005
shamir,4100,0.0216,0.0011,0.0077
shamir,4110,0.0213,0.0009,0.0066
shamir,4120,0.0214,0.0009,0.0064
shamir,4130,0.0217,0.0009,0.0066
shamir,4140,0.0214,0.0010,0.0068
shamir,4150,0.0212,0.0009,0.0066
shamir,4160,0.0212,0.0009,0.0064
shamir,4170,0.0214,0.0009,0.0063
shamir,4180,0.0218,0.0009,0.0064
shamir,4190,0.0213,0.0009,0.0063
shamir,4200,0.0214,0.0009,0.0063
shamir,4210,0.0219,0.0009,0.0066
shamir,4220,0.0214,0.0009,0.0064
shamir,4230,0.0214,0.0009,0.0063
shamir,4240,0.0215,0.0010,0.0069
shamir,4250,0.0217,0.0009,0.0063
shamir,4260,0.0217,0.0009,0.0064
shamir,4270,0.0218,0.0009,0.0063
shamir,4280,0.0219,0.0009,0.0063
shamir,4290,0.0221,0.0011,0.0078
shamir,4300,0.0221,0.0009,0.0064
shamir,4310,0.0223,0.0009,0.0066
shamir,4320,0.0222,0.0009,0.0066
shamir,4330,0.0222,0.0009,0.0064
shamir,4340,0.0223,0.0009,0.0067
shamir,4350,0.0223,0.0009,0.0063
shamir,4360,0.0227,0.0009,0.0064
shamir,4370,0.0222,0.0009,0.0063
shamir,4380,0.0225,0.0010,0.0073
shamir,4390,0.0222,0.0009,0.0063
shamir,4400,0.0225,0.0009,0.0064
shamir,4410,0.0224,0.0009,0.0062
shamir,4420,0.0228,0.0009,0.0066
shamir,4430,0.0226,0.0009,0.0065
shamir,4440,0.0228,0.0009,0.0066
shamir,4450,0.0228,0.0009,0.0064
shamir,4460,0.0229,0.0009,0.0063
shamir,4470,0.0229,0.0009,0.0061
shamir,4480,0.0227,0.0009,0.0062
shamir,4490,0.0229,0.0009,0.0062
shamir,4500,0.0230,0.0009,0.0063
shamir,4510,0.0234,0.0009,0.0065
shamir,4520,0.0229,0.0009,0.0062
shamir,4530,0.0232,0.0009,0.0064
shamir,4540,0.0230,0.0010,0.0067
shamir,4550,0.0231,0.0009,0.0061
shamir,4560,0.0231,0.0009,0.0062
shamir,4570,0.0232,0.0009,0.0062
shamir,4580,0.0233,0.0009,0.0064
shamir,4590,0.0242,0.0009,0.0066
shamir,4600,0.0232,0.0009,0.0063
shamir,4610,0.0233,0.0009,0.0064
shamir,4620,0.0233,0.0009,0.0062
shamir,4630,0.0233,0.0009,0.0062
shamir,4640,0.0230,0.0009,0.0062
shamir,4650,0.0242,0.0012,0.0085
shamir,4660,0.0235,0.0009,0.0066
shamir,4670,0.0236,0.0009,0.0065
shamir,4680,0.0235,0.0009,0.0061
shamir,4690,0.0237,0.0009,0.0062
shamir,4700,0.0238,0.0009,0.0062
shamir,4710,0.0237,0.0009,0.0062
shamir,4720,0.0237,0.0009,0.0063
shamir,4730,0.0240,0.0009,0.0061
shamir,4740,0.0244,0.0010,0.0073
shamir,4750,0.0240,0.0009,0.0061
shamir,4760,0.0241,0.0009,0.0063
shamir,4770,0.0241,0.0009,0.0062
shamir,4780,0.0240,0.0009,0.0063
shamir,4790,0.0241,0.0009,0.0064
shamir,4800,0.0240,0.0009,0.0061
shamir,4810,0.0241,0.0009,0.0063
shamir,4820,0.0241,0.0009,0.0063
shamir,4830,0.0241,0.0009,0.0063
shamir,4840,0.0240,0.0009,0.0063
shamir,4850,0.0241,0.0009,0.0063
shamir,4860,0.0241,0.0009,0.0064
shamir,4870,0.0244,0.0009,0.0066
shamir,4880,0.0245,0.0009,0.0064
shamir,4890,0.0266,0.0012,0.0087
shamir,4900,0.0258,0.0011,0.0078
shamir,4910,0.0246,0.0009,0.0064
shamir,4920,0.0249,0.0010,0.0069
shamir,4930,0.0249,0.0010,0.0069
shamir,4940,0.0251,0.0010,0.0071
shamir,4950,0.0250,0.0009,0.0067
shamir,4960,0.0247,0.0009,0.0066
shamir,4970,0.0249,0.0010,0.0067
shamir,4980,0.0252,0.0009,0.0066
shamir,4990,0.0250,0.0009,0.0067
shamir,5000,0.0251,0.0009,0.0065
shamir,6000,0.0300,0.0010,0.0067
shamir,7000,0.0361,0.0011,0.0078
shamir,8000,0.0392,0.0011,0.0078
shamir,9000,0.0422,0.0011,0.0080
shamir,10000,0.0469,0.0014,0.0098
shamir,11000,0.0515,0.0014,0.0102
shamir,12000,0.0572,0.0017,0.0122
shamir,13000,0.0609,0.0016,0.0110
shamir,14000,0.0640,0.0015,0.0108
shamir,15000,0.0687,0.0015,0.0107
shamir,16000,0.0726,0.0015,0.0109
shamir,17000,0.0775,0.0018,0.0125
shamir,18000,0.0804,0.0018,0.0124
shamir,19000,0.0848,0.0017,0.0118
shamir,20000,0.0902,0.0017,0.0123
shamir,21000,0.0934,0.0016,0.0112
shamir,22000,0.1012,0.0029,0.0207
shamir,23000,0.1040,0.0021,0.0151
shamir,24000,0.1070,0.0020,0.0140
shamir,25000,0.1095,0.0018,0.0130
shamir,26000,0.1135,0.0019,0.0131
shamir,27000,0.1190,0.0019,0.0134
shamir,28000,0.1226,0.0018,0.0130
shamir,29000,0.1270,0.0017,0.0118
shamir,30000,0.1311,0.0019,0.0131
shamir,31000,0.1354,0.0018,0.0130
shamir,32000,0.1400,0.0018,0.0128
shamir,33000,0.1461,0.0020,0.0139
shamir,34000,0.1489,0.0018,0.0125
shamir,35000,0.1527,0.0018,0.0125
shamir,36000,0.1564,0.0018,0.0128
shamir,37000,0.1613,0.0020,0.0140
shamir,38000,0.1643,0.0020,0.0144
shamir,39000,0.1688,0.0019,0.0137
shamir,40000,0.1732,0.0021,0.0145
shamir,41000,0.1810,0.0021,0.0147
shamir,42000,0.1845,0.0021,0.0150
shamir,43000,0.1876,0.0025,0.0176
shamir,44000,0.1893,0.0020,0.0141
