algo,size(bytes),avg_proc_time(ms),std_err(ms),std_dev(ms)
shamir,3310,0.0092,0.0001,0.0006
shamir,3320,0.0093,0.0001,0.0006
shamir,3330,0.0092,0.0001,0.0007
shamir,3340,0.0096,0.0002,0.0017
shamir,3350,0.0093,0.0001,0.0007
shamir,3360,0.0092,0.0001,0.0006
shamir,3370,0.0092,0.0001,0.0006
shamir,3380,0.0095,0.0003,0.0020
shamir,3390,0.0093,0.0001,0.0008
shamir,3400,0.0092,0.0001,0.0006
shamir,3410,0.0092,0.0001,0.0007
shamir,3420,0.0093,0.0001,0.0007
shamir,3430,0.0093,0.0001,0.0008
shamir,3440,0.0093,0.0001,0.0007
shamir,3450,0.0094,0.0001,0.0010
shamir,3460,0.0098,0.0001,0.0008
shamir,3470,0.0099,0.0001,0.0008
shamir,3480,0.0095,0.0001,0.0008
shamir,3490,0.0095,0.0001,0.0008
shamir,3500,0.0100,0.0001,0.0005
shamir,3510,0.0102,0.0001,0.0007
shamir,3520,0.0096,0.0001,0.0008
shamir,3530,0.0098,0.0001,0.0006
shamir,3540,0.0102,0.0001,0.0005
shamir,3550,0.0103,0.0001,0.0005
shamir,3560,0.0104,0.0002,0.0016
shamir,3570,0.0101,0.0001,0.0005
shamir,3580,0.0104,0.0001,0.0006
shamir,3590,0.0103,0.0001,0.0006
shamir,3600,0.0104,0.0002,0.0011
shamir,3610,0.0102,0.0001,0.0005
shamir,3620,0.0103,0.0001,0.0006
shamir,3630,0.0103,0.0001,0.0006
shamir,3640,0.0102,0.0001,0.0006
shamir,3650,0.0103,0.0001,0.0005
shamir,3660,0.0103,0.0001,0.0006
shamir,3670,0.0104,0.0001,0.0007
shamir,3680,0.0104,0.0001,0.0007
shamir,3690,0.0102,0.0001,0.0007
shamir,3700,0.0105,0.0001,0.0007
shamir,3710,0.0105,0.0001,0.0008
shamir,3720,0.0104,0.0001,0.0006
shamir,3730,0.0104,0.0001,0.0006
shamir,3740,0.0104,0.0001,0.0008
shamir,3750,0.0105,0.0001,0.0007
shamir,3760,0.0105,0.0001,0.0007
shamir,3770,0.0108,0.0002,0.0017
shamir,3780,0.0106,0.0001,0.0007
shamir,3790,0.0107,0.0001,0.0007
shamir,3800,0.0108,0.0003,0.0023
shamir,3810,0.0108,0.0002,0.0017
shamir,3820,0.0109,0.0001,0.0007
shamir,3830,0.0110,0.0001,0.0006
shamir,3840,0.0107,0.0001,0.0008
shamir,3850,0.0106,0.0001,0.0007
shamir,3860,0.0110,0.0001,0.0006
shamir,3870,0.0111,0.0001,0.0006
shamir,3880,0.0106,0.0001,0.0008
shamir,3890,0.0106,0.0001,0.0009
shamir,3900,0.0110,0.0001,0.0007
shamir,3910,0.0110,0.0001,0.0006
shamir,3920,0.0110,0.0001,0.0006
shamir,3930,0.0111,0.0001,0.0006
shamir,3940,0.0112,0.0001,0.0008
shamir,3950,0.0112,0.0001,0.0007
shamir,3960,0.0110,0.0001,0.0005
shamir,3970,0.0112,0.0002,0.0011
shamir,3980,0.0112,0.0001,0.0007
shamir,3990,0.0113,0.0001,0.0005
shamir,4000,0.0112,0.0002,0.0012
shamir,4010,0.0111,0.0001,0.0006
shamir,4020,0.0115,0.0001,0.0006
shamir,4030,0.0115,0.0001,0.0006
shamir,4040,0.0112,0.0001,0.0007
shamir,4050,0.0112,0.0001,0.0007
shamir,4060,0.0115,0.0001,0.0006
shamir,4070,0.0115,0.0001,0.0005
shamir,4080,0.0115,0.0001,0.0008
shamir,4090,0.0114,0.0001,0.0005
shamir,4100,0.0125,0.0007,0.0052
shamir,4110,0.0124,0.0007,0.0048
shamir,4120,0.0122,0.0006,0.0045
shamir,4130,0.0122,0.0006,0.0045
shamir,4140,0.0123,0.0006,0.0045
shamir,4150,0.0123,0.0006,0.0045
shamir,4160,0.0125,0.0007,0.0050
shamir,4170,0.0122,0.0006,0.0045
shamir,4180,0.0124,0.0006,0.0045
shamir,4190,0.0127,0.0007,0.0049
shamir,4200,0.0123,0.0006,0.0046
shamir,4210,0.0123,0.0007,0.0047
shamir,4220,0.0125,0.0006,0.0045
shamir,4230,0.0124,0.0007,0.0046
shamir,4240,0.0125,0.0006,0.0045
shamir,4250,0.0125,0.0006,0.0045
shamir,4260,0.0128,0.0006,0.0045
shamir,4270,0.0130,0.0006,0.0045
shamir,4280,0.0124,0.0006,0.0046
shamir,4290,0.0124,0.0006,0.0045
shamir,4300,0.0129,0.0006,0.0045
shamir,4310,0.0129,0.0006,0.0045
shamir,4320,0.0123,0.0006,0.0045
shamir,4330,0.0129,0.0007,0.0046
shamir,4340,0.0130,0.0006,0.0045
shamir,4350,0.0130,0.0007,0.0047
shamir,4360,0.0133,0.0007,0.0048
shamir,4370,0.0130,0.0006,0.0045
shamir,4380,0.0139,0.0007,0.0046
shamir,4390,0.0140,0.0007,0.0046
shamir,4400,0.0139,0.0007,0.0046
shamir,4410,0.0138,0.0007,0.0047
shamir,4420,0.0138,0.0007,0.0046
shamir,4430,0.0144,0.0007,0.0048
shamir,4440,0.0138,0.0007,0.0047
shamir,4450,0.0139,0.0007,0.0048
shamir,4460,0.0140,0.0007,0.0049
shamir,4470,0.0141,0.0007,0.0047
shamir,4480,0.0136,0.0006,0.0046
shamir,4490,0.0140,0.0007,0.0047
shamir,4500,0.0142,0.0007,0.0049
shamir,4510,0.0140,0.0007,0.0047
shamir,4520,0.0140,0.0007,0.0048
shamir,4530,0.0140,0.0007,0.0047
shamir,4540,0.0140,0.0006,0.0045
shamir,4550,0.0140,0.0006,0.0045
shamir,4560,0.0139,0.0007,0.0046
shamir,4570,0.0137,0.0006,0.0044
shamir,4580,0.0139,0.0006,0.0045
shamir,4590,0.0139,0.0006,0.0045
shamir,4600,0.0138,0.0006,0.0044
shamir,4610,0.0136,0.0006,0.0045
shamir,4620,0.0139,0.0006,0.0045
shamir,4630,0.0139,0.0006,0.0045
shamir,4640,0.0134,0.0007,0.0047
shamir,4650,0.0139,0.0006,0.0044
shamir,4660,0.0142,0.0007,0.0046
shamir,4670,0.0140,0.0006,0.0046
shamir,4680,0.0142,0.0009,0.0062
shamir,4690,0.0139,0.0006,0.0045
shamir,4700,0.0139,0.0006,0.0045
shamir,4710,0.0141,0.0007,0.0047
shamir,4720,0.0139,0.0006,0.0045
shamir,4730,0.0140,0.0007,0.0047
shamir,4740,0.0139,0.0006,0.0045
shamir,4750,0.0142,0.0007,0.0048
shamir,4760,0.0140,0.0006,0.0045
shamir,4770,0.0140,0.0006,0.0045
shamir,4780,0.0143,0.0006,0.0046
shamir,4790,0.0141,0.0006,0.0045
shamir,4800,0.0139,0.0006,0.0045
shamir,4810,0.0140,0.0007,0.0047
shamir,4820,0.0144,0.0006,0.0045
shamir,4830,0.0145,0.0006,0.0045
shamir,4840,0.0141,0.0007,0.0046
shamir,4850,0.0141,0.0006,0.0045
shamir,4860,0.0144,0.0006,0.0045
shamir,4870,0.0149,0.0009,0.0060
shamir,4880,0.0147,0.0008,0.0059
shamir,4890,0.0147,0.0008,0.0060
shamir,4900,0.0150,0.0009,0.0060
shamir,4910,0.0148,0.0008,0.0060
shamir,4920,0.0148,0.0009,0.0064
shamir,4930,0.0147,0.0009,0.0064
shamir,4940,0.0150,0.0009,0.0063
shamir,4950,0.0152,0.0009,0.0066
shamir,4960,0.0147,0.0009,0.0064
shamir,4970,0.0150,0.0009,0.0066
shamir,4980,0.0152,0.0009,0.0064
shamir,4990,0.0155,0.0009,0.0066
shamir,5000,0.0148,0.0009,0.0064
shamir,6000,0.0185,0.0009,0.0063
shamir,7000,0.0221,0.0011,0.0081
shamir,8000,0.0238,0.0012,0.0082
shamir,9000,0.0265,0.0011,0.0076
shamir,10000,0.0306,0.0012,0.0088
shamir,11000,0.0329,0.0012,0.0088
shamir,12000,0.0358,0.0015,0.0107
shamir,13000,0.0383,0.0014,0.0100
shamir,14000,0.0421,0.0016,0.0111
shamir,15000,0.0449,0.0016,0.0113
shamir,16000,0.0475,0.0017,0.0118
shamir,17000,0.0480,0.0013,0.0094
shamir,18000,0.0514,0.0013,0.0093
shamir,19000,0.0538,0.0014,0.0101
shamir,20000,0.0568,0.0016,0.0112
shamir,21000,0.0607,0.0017,0.0120
shamir,22000,0.0646,0.0016,0.0111
shamir,23000,0.0667,0.0017,0.0117
shamir,24000,0.0687,0.0016,0.0111
shamir,25000,0.0726,0.0018,0.0126
shamir,26000,0.0812,0.0021,0.0149
shamir,27000,0.0766,0.0017,0.0120
shamir,28000,0.0785,0.0017,0.0119
shamir,29000,0.0873,0.0020,0.0140
shamir,30000,0.0873,0.0016,0.0116
shamir,31000,0.0893,0.0017,0.0121
shamir,32000,0.0902,0.0017,0.0121
shamir,33000,0.0954,0.0020,0.0143
shamir,34000,0.0979,0.0018,0.0129
